direction,mode,seed,subject_id,session_id,MACC
MMPD_PURE,none,202,5,503,0.2092470837895148
MMPD_PURE,none,202,5,504,0.11341046916365381
MMPD_PURE,none,202,5,505,0.40865457708941594
MMPD_PURE,none,202,5,506,0.37529198090309984
MMPD_PURE,none,202,6,601,0.6694683394414864
MMPD_PURE,none,202,6,603,0.6663240717064479
MMPD_PURE,none,202,6,604,0.5426256748419649
MMPD_PURE,none,202,6,605,0.808022818966571
MMPD_PURE,none,202,6,606,0.6654771847345032
MMPD_PURE,none,202,7,701,0.285882167848916
MMPD_PURE,none,202,7,702,0.32615423401817517
MMPD_PURE,none,202,7,703,0.32949753350715016
MMPD_PURE,none,202,7,704,0.19982686884248962
MMPD_PURE,none,202,7,705,0.4858746543248776
MMPD_PURE,none,202,7,706,0.4264657824835442
MMPD_PURE,none,202,8,801,0.820672047025407
MMPD_PURE,none,202,8,802,0.5840599927966611
MMPD_PURE,none,202,8,803,0.7658576025158436
MMPD_PURE,none,202,8,804,0.7623828049301541
MMPD_PURE,none,202,8,805,0.7128906919964417
MMPD_PURE,none,202,8,806,0.7610955352045524
MMPD_PURE,none,202,9,901,0.8647934678664908
MMPD_PURE,none,202,9,902,0.5722972433742117
MMPD_PURE,none,202,9,903,0.7805108855070897
MMPD_PURE,none,202,9,904,0.5527775476228528
MMPD_PURE,none,202,9,905,0.8344378870826716
MMPD_PURE,none,202,9,906,0.8279691267315789
MMPD_PURE,osc_real,42,10,1001,0.6531478907945137
MMPD_PURE,osc_real,42,10,1002,0.45815198565975657
MMPD_PURE,osc_real,42,10,1003,0.7019723343977613
MMPD_PURE,osc_real,42,10,1004,0.7071436492271
MMPD_PURE,osc_real,42,10,1005,0.6462979236495574
MMPD_PURE,osc_real,42,10,1006,0.7113047842148915
MMPD_PURE,osc_real,42,1,101,0.6565427343612565
MMPD_PURE,osc_real,42,1,102,0.6192486308834702
MMPD_PURE,osc_real,42,1,103,0.7252539985479427
MMPD_PURE,osc_real,42,1,104,0.8148409403032835
MMPD_PURE,osc_real,42,1,105,0.6993899929314935
MMPD_PURE,osc_real,42,1,106,0.8037898681888839
MMPD_PURE,osc_real,42,2,201,0.8095405607971763
MMPD_PURE,osc_real,42,2,202,0.56332896620412
MMPD_PURE,osc_real,42,2,203,0.7132162004773854
MMPD_PURE,osc_real,42,2,204,0.6179892932793157
MMPD_PURE,osc_real,42,2,205,0.8130319200559638
MMPD_PURE,osc_real,42,2,206,0.7923382773749864
MMPD_PURE,osc_real,42,3,301,0.7416883330419869
MMPD_PURE,osc_real,42,3,302,0.8052289938600692
MMPD_PURE,osc_real,42,3,303,0.5453442780595158
MMPD_PURE,osc_real,42,3,304,0.3950479897430331
MMPD_PURE,osc_real,42,3,305,0.8221665187036502
MMPD_PURE,osc_real,42,3,306,0.7739207637771452
MMPD_PURE,osc_real,42,4,401,0.37174949518254796
MMPD_PURE,osc_real,42,4,402,0.657566156578143
MMPD_PURE,osc_real,42,4,403,0.6473288141238461
MMPD_PURE,osc_real,42,4,404,0.5710708270839236
MMPD_PURE,osc_real,42,4,405,0.771276993470234
MMPD_PURE,osc_real,42,4,406,0.7119411626240484
MMPD_PURE,osc_real,42,5,501,0.37581890104399185
MMPD_PURE,osc_real,42,5,502,0.14079430125292147
MMPD_PURE,osc_real,42,5,503,0.2650498565568487
MMPD_PURE,osc_real,42,5,504,0.11969728146602124
MMPD_PURE,osc_real,42,5,505,0.24706328283662396
MMPD_PURE,osc_real,42,5,506,0.2759003544691854
MMPD_PURE,osc_real,42,6,601,0.6718134711796573
MMPD_PURE,osc_real,42,6,603,0.7153254754434721
MMPD_PURE,osc_real,42,6,604,0.6243131918068383
MMPD_PURE,osc_real,42,6,605,0.7826269471992148
MMPD_PURE,osc_real,42,6,606,0.7144163872302665
MMPD_PURE,osc_real,42,7,701,0.3269833638891752
MMPD_PURE,osc_real,42,7,702,0.37677322389589735
MMPD_PURE,osc_real,42,7,703,0.39472892794918546
MMPD_PURE,osc_real,42,7,704,0.18608721456510924
MMPD_PURE,osc_real,42,7,705,0.6473181846028861
MMPD_PURE,osc_real,42,7,706,0.509280532593619
MMPD_PURE,osc_real,42,8,801,0.7778042003980749
MMPD_PURE,osc_real,42,8,802,0.5762162640275175
MMPD_PURE,osc_real,42,8,803,0.7475878241055738
MMPD_PURE,osc_real,42,8,804,0.7316049938871153
MMPD_PURE,osc_real,42,8,805,0.7128886538997917
MMPD_PURE,osc_real,42,8,806,0.8248174147335289
MMPD_PURE,osc_real,42,9,901,0.8272848619440565
MMPD_PURE,osc_real,42,9,902,0.6048910757324781
MMPD_PURE,osc_real,42,9,903,0.7873500195635711
